id,nb_images,longueur_image,largeur_image,description_produit,taille,annee,couleur,prix,categorie,nom_produit,delai_vente
0,3,3458.0,2552.0,Superbe petit top bustier avec explosion de couleurs assurées ! Idéal à porter pour cet été . Petite cordelette pour nouer au niveau de la poitrine . Taille 44 mais taille un peu plus petit .,44,,Multicolore,4.5,mode,Top bustier multicolore ,2
1,2,2486.0,2254.0,"Radio ITT Océnic Flirt, année 70
Pour déco",,,Jaune,15.0,mobilier - deco,Radio ITT Océanic,1
2,3,1536.0,1536.0,"Veste boléro à manches courtes NÛMPH. Gris chiné. Manches courtes bouffantes. Composition : 90% polyester, 5% coton, 5% laine. Taille 40.
Une veste très originale  de la mode danoise",40,,Gris,16.0,label selection,,1
3,2,1100.0,1100.0,"Encrier plumier en verre.  De forme carrée le plateau plumier présente le porte godet encrier fermé par un bouchon en laiton. Dimensions: 11,5 x 11,5 x 7 cm. Poids: 520g. Petit accessoire à encre (indépendant du produit) inclus.",,,,24.0,mobilier - deco,Encrier Plumier en verre,1
4,2,450.0,450.0,"Si vous souhaitez acquérir un appareil puissant à un prix abordable,
le huawei Honor 5X est fait pour vous. 

Il dispose d'un processeur 64 bits de 8 coeurs qui lui confère une
puissance remarquable, d'un écran Full HD de 5.5 pouces et d'une
connexion 4G. 

De plus il dispose de 2 Go de mémoire vive lui permettant d'ouvrir
des applications aisément. Ces 16 Go de mémoire lui permettront de
stocker beaucoup d'applications. 

Il n'est pas en reste avec un appareil photo de 13 mpx ainsi que d'une
camera frontale de 5 mpx. 

Bien sur, ce téléphone est équipé du système Android 5.1
lollipop.",,,Blanc,139.0,multimédia,HUAWEI Honor 5X Blanc - Débloqué - Très bon état.,0
5,6,800.0,615.0,"Ancien Agenda 1939 offert par le Bon Marché 
Ce bel agenda intègre : 
- un plan des bus métropolitains
- un plan des réseaux de transports Renault et Citroën
- un calendrier des expositions
- un volet informations et numéro utiles 
- quelques annotations.
Vous aurez aussi le plaisir d'y trouver des billets de 5 francs de 1940 et de 100 francs ainsi qu'une carte postale. ",,1939.0,Rouge,15.0,loisirs,Agenda BON MARCHE avec rubrique plan de paris ,1
6,4,3000.0,2450.0,"Belle poupée en porcelaine Doll représentant une jolie mariée . Sublime robe blanche ornée de roses blanches , collier de perles et chaussures à talons noires . Bouquet de fleur violette .Objet décoratif . Pour agrandir votre collection ou à offrir . N'a pas de socle pour tenir debout .
H 62 cm .",,,Blanc,10.0,enfance,"Poupée mariée en porcelaine , Doll",1
7,1,1024.0,729.0,"Pokémon Colosseum ""Nintendo GameCube Pal"" 2004",,,,12.6,enfance,"Pokémon Colosseum ""Nintendo GameCube Pal"" 2004",1
8,7,2749.0,2964.0,"- Joli coffret en bois contenant 5 cuvettes, un jeu de 54 cartes
- un assortiment de jetons de différentes couleurs
- règles du jeu en français ",,,Multicolore,20.0,enfance,"Jeu du ""NAIN JAUNE""",0
9,13,2448.0,2448.0,"Tailleur Pantalon Femme ""Antonelle""
de couleur Taupe.
Veste un bouton et Pantalon droit

Taille: 38.",38,,Taupe,15.0,label selection,Costume,2
